Differential gene expression in whole lung bulk RNA-seq data of three replicates of young (3 months) and old mice (22 months),ID,baseMean,gene name,log2FoldChange [old/young],lfcSE,stat,pvalue,padj,Old_1,Old_2,Old_3,young_1,young_2,young_3
,ENSMUSG00000067149,7413.234534,Jchain,3.827099674,0.838225078,4.565718412,4.98E-06,3.60E-05,10337.55146,21624.69229,9589.392479,1967.636861,517.9435963,442.190516
,ENSMUSG00000098624,1.696363063,Mir7036,3.819045294,2.069987352,1.84496069,0.065043257,NA,5.118022012,2.087392673,2.972763692,0,0,0
,ENSMUSG00000075023,3.514243688,Accsl,3.80917698,1.665740105,2.286777493,0.022208814,0.053061383,10.23604402,2.78319023,6.688718307,0,1.377509565,0
,ENSMUSG00000079108,13.09670599,Srp54c,3.803727824,1.343349242,2.83152564,0.004632652,0.014041368,4.265018344,1.391595115,67.63037399,1.349545172,2.75501913,1.188684183
,ENSMUSG00000099018,3.46009627,Gm27360,3.794518748,1.659921888,2.285962234,0.022256468,0.053155586,3.412014675,5.566380461,10.40467292,0,1.377509565,0
,ENSMUSG00000079001,1.669403089,4930404H24Rik,3.792588699,2.575965702,1.472297824,0.140940471,NA,8.530036687,0,1.486381846,0,0,0
,ENSMUSG00000029417,313.2529314,Cxcl9,3.789407294,1.066767375,3.552233958,0.000381975,0.001612932,386.4106619,60.53438751,1305.786452,47.23408103,42.70279651,36.84920967
,ENSMUSG00000094315,3.401926606,Igkv4-78,3.76503569,1.77424257,2.122052393,0.033833339,0.075398678,4.265018344,1.391595115,13.37743661,0,1.377509565,0
,ENSMUSG00000089652,3.416579552,Gm16025,3.76438484,1.706348054,2.206106094,0.027376572,0.063384955,11.08904769,2.087392673,5.945527384,0,1.377509565,0
,ENSMUSG00000091827,1.620264343,Speer4f2,3.759243387,2.193029282,1.714178382,0.08649597,NA,3.412014675,5.566380461,0.743190923,0,0,0
,ENSMUSG00000076540,38.24989428,Igkv4-80,3.752157811,1.490764675,2.516935016,NA,NA,9.383040356,187.8653406,16.35020031,12.14590655,1.377509565,2.377368366
,ENSMUSG00000095351,775.6283698,Igkv3-2,3.7393305,1.501095096,2.491068361,0.012735961,0.033328745,2564.129028,1708.183004,57.22570107,269.9090345,23.4176626,30.90578876
,ENSMUSG00000094420,737.1484562,Igkv10-96,3.738014692,0.860591401,4.343541762,1.40E-05,9.00E-05,1368.217885,2419.983905,326.2608152,172.7417821,61.98793041,73.69841934
,ENSMUSG00000035186,38.86610057,Ubd,3.724394281,0.803541563,4.634974038,3.57E-06,2.68E-05,69.09329717,20.17812917,127.8288388,5.398180689,0,10.69815765
