,HSC 1,HSC 2,HSC 3,HSC 4,HSC 5,HSC 6,MPPa 1,MPPa 2,MPPa 3,MPPa 4,MPPa 5,MPPa 6,MPPb 1,MPPb 2,MPPb 3,MPPb 4,MPPb 5,MPPb 6,MPPc 1,MPPc 2,MPPc 3,MPPc 4,MPPc 5,MPPc 6,CLP 1,CLP 2,CLP 3,CLP 4,CLP 5,CLP 6,CMP 1,CMP 2,CMP 3,CMP 4,CMP 5,CMP 6,MEP 1,MEP 2,MEP 3,MEP 4,MEP 5,MEP 6,GMP 1,GMP 2,GMP 3,GMP 4,GMP 5,GMP 6,Old HSC 1,Old HSC 2,Old HSC 3,Old HSC 4,Old HSC 5,Old HSC 6,Old MPPa 1,Old MPPa 2,Old MPPa 3,Old MPPa 4,Old MPPb 1,Old MPPb 2,Old MPPb 3,Old MPPb 4,Old MPPc 1,Old MPPc 2,Old MPPc 3,Old MPPc 4
Bop1,0,0,80.12516272,0,64.04816951,62.65454935,54.42622989,162.6408073,87.53552282,33.21105577,158.8586775,99.39135854,100.0077409,72.05883739,162.4692155,162.3337879,133.312042,161.9898876,89.72454458,83.27414463,368.9032908,99.32661589,150.5913963,120.2391139,109.9660374,140.8114872,115.7473475,66.06684071,115.3273462,141.580493,113.8156984,116.3418812,82.85288712,173.518967,261.5385264,230.8770968,180.5691319,146.8430573,0,108.4574232,298.736826,312.6192178,147.6928415,242.1038578,241.0297933,276.9279677,190.3677677,229.3155084,0,0,56.86974876,114.8450172,121.8453926,113.8176554,103.7266351,1091.300774,143.5533155,124.227435,0,75.29005795,159.211411,122.7496541,952.2977291,634.2470053,107.1597229,58.45488589
Bora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.39308175,10.0801062,0,0,0,0,34.29470323,7.715590411,0,0,0,0,0,0,0,0,0,12.02707391,0,0,0,0,0,0,0,0
Borcs5,0,0,0,0,0,0,0,0,0,0,0,0,16.09150285,18.52010024,38.34977091,0,30.98636515,42.35854389,0,0,0,0,0,0,0,0,0,0,0,47.82309993,0,0,77.97850705,0,18.22207663,34.63216938,0,0,0,0,6.476501985,77.64159998,0,31.23678107,44.14009508,57.15258422,30.67281926,61.47238094,50.65269602,42.38840172,0,0,0,25.61647105,32.0523742,55.44486327,0,9.967263849,50.52533642,64.47203203,0,0,95.6609488,37.84544161,0,0
Borcs6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.8785707,0,0,0,0,0,0,0,0,0,0,21.19259774,25.63857327,44.73880844,0,22.6215076,5.399032987,0,0,0,0,0,0,4.782338499,0,0,0,0,0,0,0,0,0,0,0
Borcs7,0,46.1810673,133.0540324,0,0,0,46.18112599,40.21062937,15.77952333,0,0,45.61148111,21.6536025,35.93612303,16.82806135,19.41127205,43.05036039,52.09988063,23.19081795,62.92310023,27.57346009,0,30.96036019,43.61089174,67.31396289,30.08744793,7.112607825,0,12.47997782,22.77879731,11.88056226,44.03605173,26.24405415,18.37802404,22.36346638,12.51075618,80.69499725,34.73870756,0,0,30.48862959,37.99468939,23.75021037,32.52323615,33.79050099,24.40541254,108.2417082,31.93439677,63.48149823,32.76686069,23.81465831,0,17.36953213,3.846162269,29.57093031,26.44365872,35.74400009,33.54123674,55.81018947,56.66875119,31.46434206,21.1640911,33.47040901,29.68556204,31.9668841,37.40175013
Borcs8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65668783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.613162045,0,0,0,0,0,0,0,0,4.456539843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bpgm,0,146.5753499,193.5715032,0,0,146.1226183,39.92134058,0,0,0,84.5657302,50.01504093,11.96195782,0,0,0,72.83715129,39.57628536,0,0,0,0,20.27006398,34.38281953,0,0,0,0,0,0,30.13830167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.37014462,150.0125601,114.3766269,131.5976138,38.27724878,0,0,47.81121807,30.68356805,0,0,20.44116069,23.97183845,0,0,0,0
Bphl,182.171462,207.7982213,85.26942216,211.6356056,376.2032398,669.7768782,226.1415833,196.7648494,188.2884729,182.3849637,318.3428596,261.6341277,99.24785496,146.2452346,202.6209457,81.87646871,215.3621229,347.9537823,158.5939515,339.3349349,137.038555,109.0967433,236.5180771,202.0667703,27.71448261,139.101285,276.826396,309.5354536,345.9608101,465.2070388,94.93039118,72.14396937,189.3858468,90.6275956,252.603162,241.2572061,0,0,50.80393973,83.35869496,175.333228,187.6799868,108.1398218,171.3602,176.9668405,195.597882,181.1002911,238.4971739,394.8098943,261.7740274,315.8677226,359.7926616,364.7082157,313.9158246,256.7927623,179.632735,245.9979427,179.1649403,261.1812157,137.9225478,174.5233839,216.0808612,156.7954073,155.87557,307.9889667,286.1439395
Bpifb9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.02498426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.56728601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bpnt1,61.00046917,0,0,0,81.39561981,58.96043247,65.86718733,0,80.47335244,50.11388048,41.93197075,34.37532201,34.71978268,74.37927133,34.78482019,68.75732659,43.40730849,40.84210298,0,145.8864906,25.2307375,29.99902228,52.00990588,42.29773119,0,0,119.9992513,73.7387486,54.91989755,104.636404,37.47027836,9.280954144,17.18988459,0,39.07323669,38.45617358,0,0,0,0,38.06183264,39.24304377,0,83.16852677,115.1848841,112.8849758,25.49930504,62.37884418,110.1801635,103.2535433,49.99217785,60.2458261,126.7048853,78.57985559,30.16313193,45.65337922,110.0451067,87.4603728,31.32374106,60.07500862,58.2920257,36.07004965,60.50817773,94.45068056,68.20164058,79.94030822
Bptf,0,0,0,0,0,0,0,82.15770915,0,67.91077849,0,52.85626677,29.63606768,60.99522883,240.4859231,192.3415971,49.44159892,82.32798772,116.8251039,150.7718389,112.7504653,344.4329117,52.7429042,104.1260459,126.2254947,146.6157991,138.5892329,173.6449629,396.6588677,203.3756009,291.8403845,312.9893979,168.4777148,313.8494592,64.78100965,91.4715401,98.49397235,212.5080024,176.2189526,123.0876181,148.4606518,83.28741775,200.3926255,199.8028007,157.9327302,183.6071464,307.1819942,130.7939162,0,114.422119,81.36595533,0,94.35812075,0,0,153.9403703,106.2220016,146.4913957,0,0,104.7602747,143.9251409,286.5697467,256.435106,154.3887482,69.02580643
